link,title,datetime,abstract
/realtimenews/20230313002406-260407,新北今年首場行動治理座談會 永和里長挺侯友宜選總統,2023-03-13 13:08,新北市29區里長聯誼會將連署要求國民黨提名新北市長侯友宜參選2024總統，侯友宜今（13）日至永和區主持今年首場行動治理座談會，有里長在臨時動議時發言，若侯友宜選總統，永和至少有60位里長會幫忙。侯友
/realtimenews/20230313002295-260407,跳電黑暗期來了？核二2號機明除役 他爆蔡政府將出「這絕招」,2023-03-13 12:51,雖然民間擔心缺電，一直有聲音反對核二除役，但蔡政府推動「減核」的決心寸步不讓，更預計要在2025核電歸零，而核二廠2號機也將在明（14）日除役並不再發電。對此，PTT鄉民今（13）日在網路熱議電力問題
/realtimenews/20230313002140-260407,接見非洲台商 賴清德：台灣經濟實力的延伸,2023-03-13 12:41,賴清德副總統今天接見非洲台商表示，在非洲經商是台灣經濟實力的延伸，非洲有人口紅利、出口美國享優惠關稅等多項利基。世界銀行也預估，非洲農業到2030年將成為高達上兆美元的產業。他期望未來大家繼續給予政府
/realtimenews/20230313002249-260407,立委驚爆這家「政二代公司」走私黑槍彈藥 扯出前綠委,2023-03-13 12:37,立委邱顯智13日指出，近年來台灣槍擊事件頻繁、黑道高調辦春酒，如未根除黑道火藥庫，黑道與黑槍只會不斷侵擾人民的安居生活。他將台灣黑槍、子彈來源指向「鴻聲國際公司」，稱該公司是由民進黨前立委梁牧養兒女所
/realtimenews/20230313002236-260407,為線民案再次道歉 黃國書臉書宣布不選2024立委,2023-03-13 12:30,因「線民案」退出民進黨的無黨籍立委黃國書是否再戰2024？近日引發地方政壇議論，選在民進黨立委初選登記前1周，黃國書今天在臉書宣布，要為當年犯下的過錯再一次向社會道歉，也「將遵守承諾，不再參選立委連任
/realtimenews/20230313002186-260407,鍾東錦上任首次率團出國 赴新加坡考察教育、觀光,2023-03-13 12:21,「將苗栗帶出去，把國際帶進來！」 苗栗縣長鍾東錦上任後首次出國考察，13日至17日率領文觀局長林彥甫、教育處長葉芯慧、20位校長及13位隨團觀光產業代表，赴新加坡觀摩雙語教育辦學成果、辦理觀光旅遊推廣
/realtimenews/20230313000019-260407,蔡政府被華府這人氣歪？ 柯志恩不解吐1句,2023-03-13 12:17,對於美國華府廣播節目著名主持人Garland Nixon近日在推特寫，「台灣快成為太平洋的烏克蘭！」，結果引發行政院長陳建仁、外交部和國防部大動作駁斥是假消息。對此，政論節目主持人錢怡君12日認為，政
/realtimenews/20230313002110-260407,淡水商工女籃奪HBL冠軍 蔣萬安兌現承諾請吃飯：歡迎侯友宜,2023-03-13 12:13,HBL高中籃球聯賽12日在台北小巨蛋登場，台北市長蔣萬安、新北市長侯友宜到場分別為淡水商工、北一女中加油，並打賭輸球的城市必須請對方球隊吃飯，最終淡水商工以81比59擊敗北一女中。蔣萬安今表示，接下來
/realtimenews/20230313002044-260407,聘陸臨時工PO市長活動片？蔣萬安這解釋綠批甩鍋,2023-03-13 12:11,民進黨台北市議員簡舒培指稱，北市府雇用一名中國大陸籍臨時工在抖音上傳台北市長蔣萬安出席活動多部影片，且全部tag「兩岸一家親」，更將民眾個資製成影片。蔣萬安13日回應，該臨時工是配合勞動部計畫聘用，目
/realtimenews/20230313002040-260407,核二2號機明除役恐缺電？綠委相信「現有調度」,2023-03-13 12:00,核二廠2號機14日除役，企業界憂心未來供電不穩，國民黨團日前更憂心，核二廠除役後恐讓電價漲價。對此，民進黨立院黨團副幹事長洪申翰13日認為不用過度擔憂，相關單位將考量各方需求做出最好設計，他也強調，以
/realtimenews/20230313001954-260407,六都市長好感度奪第一 理工男張善政這樣回,2023-03-13 11:48,桃園市長張善政甫榮獲六都市長評比好感度第一，網友大讚以後都選理工男當首長，他受訪時感謝大家支持，笑說跟學什麼無關，而是要很努力，他也歸功於市府團隊，了解他的政見、非常努力付諸實踐，感謝大家認可，會繼續
/realtimenews/20230313001854-260407,軍公教可加薪了？主計長曝：應能做出調整,2023-03-13 11:43,台灣近來物價上漲面臨通膨問題，實質經常性薪資也出現倒退情況，立委吳秉叡今（13）日在財政委員會質詢時，問到軍公教能否調薪？行政院主計長朱澤民認為，物價上漲等於是實質所得降低，應能做出調整，且到113年
/realtimenews/20230313001811-260407,上兵在大陸 邱太三曝海基會已聯繫對岸但「已讀不回」,2023-03-13 11:39,金門上兵失蹤事件，陸委會主委邱太三13日證實，該陳姓上兵目前人在大陸。邱太三表示，《兩岸共打協議》已取代《金門協議》，無法透過紅十字會管道進行營救；海基會昨日已發文聯繫對岸，但對岸「已讀不回」，希望陸
/realtimenews/20230313001869-260407,民進黨誠信條款劍指侯友宜？綠黨團喊話：藍可提出「王鴻薇條款」,2023-03-13 11:39,副總統、民進黨主席賴清德日前在中執會上頒布「誠信條款」，要求除了艱困選區或無現任立委選區之外，其餘選區不建議現任議員參與2024年立委選舉，被解讀是劍指國民黨籍新北市長侯友宜，對此，民進黨立法院黨團稱
